State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn
,119.0,510.0,No,,,190.4,,32.37,215.6,113.0,18.33,,111.0,7.25,10.0,1.0,2.7,2.0,False
NY,94.0,510.0,Yes,No,0.0,243.2,109.0,41.34,147.0,,12.5,94.9,99.0,4.27,7.2,4.0,1.94,,False
TX,,408.0,No,No,0.0,176.4,115.0,29.99,158.8,128.0,13.5,306.6,107.0,,9.3,3.0,2.51,4.0,False
OR,161.0,415.0,No,No,,178.1,109.0,30.28,146.5,86.0,,137.6,78.0,6.19,8.5,2.0,2.3,1.0,False
KS,67.0,408.0,No,No,0.0,201.4,101.0,,97.6,,8.3,202.5,,,7.0,3.0,1.89,0.0,False
ND,132.0,415.0,,Yes,,174.5,,29.67,245.6,,,172.8,76.0,7.78,10.3,9.0,2.78,1.0,False
PA,134.0,408.0,,No,0.0,205.3,122.0,34.9,240.5,155.0,20.44,179.1,,,5.0,9.0,1.35,1.0,False
,44.0,510.0,No,,0.0,143.2,77.0,24.34,169.8,114.0,14.43,,77.0,9.71,7.6,4.0,2.05,1.0,False
,53.0,,No,,27.0,25.9,119.0,4.4,,96.0,17.55,,64.0,10.26,6.5,7.0,1.76,1.0,False
NY,108.0,415.0,No,No,,,123.0,26.21,112.3,,9.55,,75.0,11.09,15.4,4.0,,4.0,True
,80.0,,No,,0.0,322.3,113.0,,,95.0,18.87,162.8,123.0,7.33,6.7,8.0,1.81,0.0,True
SD,88.0,415.0,,No,,,115.0,36.65,,85.0,18.38,171.3,65.0,7.71,11.8,,3.19,3.0,False
UT,,510.0,,,,208.8,,,,,18.16,,86.0,7.88,12.4,6.0,,3.0,False
AK,115.0,415.0,No,,0.0,245.2,105.0,41.68,159.0,109.0,,229.9,74.0,10.35,7.2,8.0,1.94,0.0,False
RI,,,No,No,0.0,98.4,78.0,16.73,,129.0,,248.2,114.0,,14.2,,3.83,1.0,False
,72.0,415.0,No,No,0.0,217.8,93.0,37.03,,,16.12,182.6,91.0,,10.4,5.0,2.81,4.0,False
DE,98.0,415.0,,Yes,29.0,179.9,97.0,30.58,,,16.08,164.3,76.0,,12.8,,3.46,3.0,False
ID,118.0,415.0,No,,,140.4,112.0,23.87,187.1,60.0,15.9,,155.0,9.36,7.9,1.0,2.13,0.0,False
MO,,510.0,No,No,0.0,189.0,100.0,32.13,118.5,99.0,10.07,,87.0,11.16,17.1,6.0,,0.0,False
IL,,415.0,No,No,,155.9,,26.5,256.1,97.0,,262.9,103.0,11.83,11.7,,3.16,3.0,False
FL,136.0,408.0,,No,0.0,199.2,122.0,33.86,214.7,114.0,18.25,150.9,105.0,6.79,11.8,7.0,,1.0,False
KY,,415.0,No,No,0.0,157.1,79.0,26.71,162.6,,13.82,150.0,138.0,6.75,12.1,6.0,3.27,,False
MI,91.0,415.0,No,No,0.0,154.4,165.0,,,121.0,14.31,239.9,81.0,10.8,11.7,4.0,3.16,5.0,True
NY,,415.0,No,No,0.0,,85.0,28.29,243.2,135.0,,229.2,95.0,10.31,9.9,,2.67,,False
,159.0,415.0,,Yes,19.0,,,31.3,194.5,71.0,16.53,225.6,,10.15,16.9,3.0,4.56,0.0,False
,122.0,,No,No,0.0,35.1,,5.97,180.8,,15.37,251.6,58.0,,12.7,2.0,3.43,,False
MI,,415.0,No,Yes,29.0,179.4,113.0,30.5,275.4,,23.41,246.1,105.0,,10.0,5.0,2.7,0.0,False
NH,155.0,408.0,No,,0.0,216.7,30.0,36.84,144.3,125.0,12.27,135.3,,6.09,,1.0,,2.0,False
WA,161.0,,,,,151.6,,25.77,219.4,87.0,18.65,224.7,68.0,10.11,4.0,5.0,1.08,1.0,False
NY,122.0,415.0,No,No,0.0,,,29.51,91.7,84.0,7.79,211.7,103.0,9.53,9.7,7.0,,3.0,False
,37.0,415.0,Yes,No,0.0,106.6,76.0,18.12,147.4,89.0,12.53,235.8,113.0,10.61,9.6,8.0,2.59,2.0,False
KS,128.0,415.0,No,No,,103.3,,,245.9,123.0,20.9,,95.0,7.25,6.4,,1.73,0.0,False
DE,89.0,510.0,Yes,No,0.0,,108.0,21.35,213.0,90.0,18.11,,108.0,8.18,5.4,5.0,,1.0,False
IN,108.0,415.0,No,No,,199.3,104.0,,224.2,,19.06,140.1,57.0,6.3,15.2,,4.1,0.0,False
VT,109.0,,,,0.0,222.2,,,218.5,122.0,18.57,,88.0,,10.9,5.0,2.94,1.0,False
WA,29.0,,No,No,0.0,157.4,122.0,26.76,145.0,75.0,12.33,281.8,92.0,12.68,9.3,2.0,,1.0,False
NM,119.0,415.0,Yes,Yes,,160.0,95.0,27.2,209.5,,,82.3,,3.7,8.7,5.0,2.35,5.0,True
MO,,415.0,No,No,,83.5,96.0,14.2,,63.0,18.79,,75.0,15.74,12.6,3.0,3.4,,False
IA,92.0,,No,Yes,25.0,,112.0,22.78,,,17.51,180.6,118.0,8.13,,4.0,,0.0,False
WA,13.0,510.0,No,Yes,25.0,176.6,65.0,30.02,172.7,96.0,14.68,104.5,128.0,4.7,,,3.05,2.0,False
CT,144.0,510.0,Yes,Yes,35.0,174.8,127.0,29.72,219.6,,18.67,255.8,90.0,11.51,12.8,3.0,3.46,0.0,False
NH,139.0,,No,No,0.0,221.3,140.0,,157.8,89.0,13.41,192.5,89.0,8.66,,6.0,3.05,,False
LA,95.0,415.0,No,,0.0,141.1,84.0,23.99,,,17.97,103.7,127.0,4.67,5.9,6.0,1.59,3.0,False
ME,,408.0,No,Yes,,166.4,92.0,28.29,238.3,74.0,20.26,,84.0,6.78,10.7,4.0,,4.0,False
MT,,415.0,No,No,0.0,,93.0,36.7,240.1,,20.41,156.7,123.0,7.05,4.9,5.0,1.32,3.0,False
ID,,415.0,,,31.0,,91.0,30.87,213.2,,18.12,,104.0,9.35,11.4,,3.08,,False
UT,74.0,415.0,No,No,0.0,,84.0,,140.2,104.0,11.92,90.9,81.0,4.09,11.4,3.0,3.08,1.0,False
IL,48.0,510.0,,No,0.0,128.2,71.0,21.79,48.1,78.0,,,80.0,5.23,8.9,3.0,2.4,0.0,False
AZ,,510.0,No,No,0.0,,56.0,30.38,215.7,,,152.7,84.0,6.87,,,2.86,4.0,False
ID,56.0,510.0,,No,0.0,150.9,79.0,25.65,161.8,87.0,,167.7,115.0,,11.7,5.0,3.16,,False
TX,64.0,415.0,No,No,0.0,168.0,116.0,28.56,192.4,94.0,,166.5,98.0,7.49,,3.0,2.73,2.0,False
MT,,415.0,No,Yes,35.0,182.8,,31.08,,119.0,18.08,193.8,103.0,,11.0,,2.97,1.0,False
PA,101.0,415.0,Yes,No,,,108.0,32.93,186.6,98.0,15.86,223.0,100.0,10.04,11.6,8.0,3.13,,False
RI,,415.0,Yes,No,,197.2,97.0,33.52,211.7,115.0,,,,9.45,8.3,,,4.0,False
NH,90.0,415.0,No,No,0.0,76.1,121.0,12.94,,,24.68,236.9,89.0,10.66,10.8,,2.92,,False
,73.0,415.0,,No,0.0,,,30.99,199.2,97.0,16.93,120.2,113.0,5.41,18.0,5.0,4.86,1.0,False
NH,55.0,408.0,No,Yes,20.0,189.3,95.0,32.18,118.6,,10.08,250.2,102.0,,,4.0,,2.0,False
AK,76.0,415.0,No,,22.0,160.1,107.0,27.22,168.7,136.0,,23.2,102.0,1.04,,4.0,2.57,3.0,False
,157.0,415.0,No,No,0.0,,105.0,,,127.0,10.14,165.1,113.0,7.43,11.5,7.0,3.11,4.0,False
NJ,131.0,415.0,No,No,,211.8,115.0,36.01,260.5,102.0,,144.2,96.0,6.49,10.8,,2.92,0.0,False
MI,,415.0,No,No,0.0,229.7,129.0,39.05,336.0,,28.56,192.8,,8.68,9.6,,2.59,1.0,True
ID,166.0,415.0,No,No,0.0,220.7,106.0,37.52,177.8,,15.11,206.1,,9.27,12.4,9.0,3.35,1.0,False
OR,66.0,408.0,No,No,0.0,87.6,76.0,14.89,262.0,,,184.6,125.0,8.31,9.2,5.0,,1.0,False
,49.0,415.0,No,No,0.0,266.3,90.0,,207.8,117.0,17.66,205.0,98.0,9.23,14.0,2.0,3.78,,True
LA,89.0,415.0,No,No,0.0,,92.0,23.99,249.1,126.0,21.17,,73.0,6.12,10.8,2.0,2.92,,False
WI,90.0,415.0,,No,0.0,200.9,92.0,,164.3,91.0,13.97,249.0,98.0,11.21,8.9,7.0,2.4,1.0,False
ID,193.0,415.0,No,,0.0,,,16.46,,103.0,12.12,,115.0,,,5.0,2.94,2.0,True
,114.0,510.0,,No,0.0,172.0,,29.24,276.4,101.0,23.49,193.7,,8.72,,9.0,,,False
NV,,,,Yes,30.0,221.4,114.0,37.64,165.8,116.0,,,105.0,,10.8,12.0,,1.0,False
,71.0,415.0,,No,0.0,243.7,124.0,,60.0,90.0,5.1,189.0,129.0,8.5,,2.0,3.05,0.0,False
IL,31.0,,,,28.0,210.5,,35.79,250.5,86.0,21.29,241.6,125.0,10.87,11.5,,3.11,1.0,False
MA,111.0,415.0,No,,,284.4,89.0,48.35,,113.0,13.35,242.8,91.0,10.93,8.4,8.0,2.27,0.0,True
,97.0,408.0,No,,0.0,169.7,,,165.9,86.0,14.1,191.9,83.0,,12.8,6.0,3.46,3.0,False
ND,51.0,510.0,No,No,,227.2,89.0,38.62,194.4,,,,126.0,10.95,14.9,2.0,4.02,0.0,False
,86.0,415.0,,No,,223.9,75.0,38.06,,,,150.2,,,7.3,9.0,1.97,1.0,False
ND,190.0,,No,,0.0,169.4,102.0,28.8,253.5,113.0,,197.1,93.0,8.87,8.9,5.0,2.4,1.0,False
CT,80.0,408.0,No,,0.0,118.1,90.0,20.08,,,12.27,225.1,,,,6.0,2.21,,False
MO,36.0,,,No,0.0,202.4,115.0,34.41,230.7,115.0,19.61,202.0,127.0,9.09,10.2,2.0,2.75,3.0,False
NJ,45.0,,No,,0.0,155.7,110.0,,260.3,103.0,22.13,192.2,98.0,8.65,11.0,,2.97,1.0,False
NC,170.0,415.0,No,No,0.0,246.4,107.0,41.89,228.1,124.0,19.39,166.4,95.0,7.49,,8.0,2.46,0.0,False
,103.0,415.0,,No,0.0,189.8,,32.27,115.5,,9.82,191.3,103.0,8.61,12.2,4.0,3.29,0.0,False
WI,,408.0,,No,,167.8,,,247.9,81.0,21.07,155.1,108.0,,11.9,4.0,3.21,,False
MT,125.0,510.0,No,No,0.0,143.2,80.0,24.34,88.1,94.0,7.49,233.2,,,8.8,7.0,2.38,4.0,True
MS,,415.0,No,Yes,31.0,82.3,105.0,13.99,256.1,91.0,,229.6,98.0,,11.8,2.0,3.19,6.0,True
,232.0,408.0,No,No,0.0,,104.0,,195.9,115.0,16.65,118.3,,5.32,,,3.19,,False
SD,95.0,408.0,No,Yes,20.0,165.7,,28.17,215.6,94.0,18.33,,91.0,10.95,9.8,6.0,2.65,0.0,False
VA,182.0,415.0,No,No,0.0,176.1,90.0,29.94,174.9,106.0,14.87,234.7,134.0,10.56,9.7,4.0,2.62,1.0,False
NM,55.0,,No,No,0.0,119.7,148.0,20.35,231.8,,19.7,222.3,113.0,10.0,4.6,2.0,1.24,,False
VA,86.0,,No,,30.0,99.9,84.0,,,125.0,,254.7,,11.46,,,2.65,2.0,False
NJ,127.0,510.0,No,No,0.0,239.8,107.0,40.77,128.9,121.0,,249.9,110.0,,,5.0,3.05,1.0,False
TN,,415.0,No,No,0.0,164.5,75.0,27.97,147.9,118.0,12.57,252.7,97.0,11.37,11.2,2.0,3.02,0.0,False
MI,,510.0,,,0.0,220.9,107.0,37.55,192.2,97.0,16.34,161.0,74.0,,,,3.29,1.0,False
LA,111.0,415.0,No,Yes,28.0,,104.0,,157.3,52.0,13.37,147.4,,6.63,10.3,2.0,2.78,2.0,False
NH,121.0,510.0,No,Yes,35.0,,62.0,32.95,197.6,97.0,16.8,218.8,,9.85,5.9,,,0.0,False
RI,112.0,415.0,No,No,0.0,168.6,,28.66,298.0,117.0,25.33,194.7,110.0,8.76,9.8,5.0,2.65,1.0,False
LA,81.0,415.0,,Yes,,115.9,120.0,19.7,236.6,95.0,20.11,255.0,90.0,11.48,11.7,,3.16,3.0,False
AZ,,510.0,,No,0.0,272.4,88.0,46.31,,,9.17,185.5,81.0,8.35,12.7,2.0,,0.0,False
SC,,510.0,No,Yes,40.0,210.0,116.0,35.7,,89.0,19.78,168.8,94.0,7.6,,4.0,1.59,8.0,False
MD,163.0,408.0,,No,0.0,223.0,,,227.0,98.0,19.3,188.3,125.0,8.47,,5.0,,1.0,False
WA,104.0,415.0,No,,0.0,139.7,78.0,23.75,202.6,119.0,,203.6,102.0,9.16,11.3,,,2.0,False
CA,93.0,510.0,No,Yes,19.0,136.8,113.0,23.26,179.5,105.0,15.26,71.1,,,,3.0,3.38,2.0,False
NJ,197.0,510.0,,No,0.0,154.8,,26.32,171.5,102.0,14.58,227.3,86.0,10.23,10.6,2.0,2.86,3.0,False
AR,57.0,510.0,No,No,,192.8,68.0,,158.0,86.0,,,105.0,10.6,12.7,6.0,3.43,1.0,False
CT,107.0,408.0,No,No,0.0,,94.0,17.58,189.3,125.0,16.09,227.2,125.0,10.22,14.4,3.0,3.89,,False
SD,75.0,408.0,No,No,0.0,147.5,110.0,25.08,191.7,97.0,,,,,16.4,,4.43,2.0,False
FL,,408.0,,No,0.0,178.4,,,247.0,123.0,21.0,259.9,105.0,,,2.0,2.59,0.0,False
MS,70.0,408.0,No,No,0.0,148.4,110.0,25.23,267.1,90.0,22.7,151.5,,6.82,,4.0,,0.0,False
MA,80.0,408.0,No,No,0.0,148.6,,,210.8,65.0,17.92,203.7,,9.17,10.0,2.0,2.7,2.0,False
,137.0,510.0,No,No,0.0,97.5,95.0,,,,16.64,288.8,78.0,,0.0,,0.0,1.0,False
IL,,415.0,No,Yes,29.0,185.6,,31.55,219.7,113.0,18.67,152.1,120.0,6.84,,5.0,3.0,2.0,False
CT,30.0,408.0,No,No,0.0,137.6,108.0,,162.0,80.0,13.77,187.7,126.0,8.45,,10.0,1.57,3.0,False
KS,105.0,,Yes,,0.0,273.9,119.0,46.56,278.6,103.0,23.68,,90.0,11.49,10.9,,2.94,1.0,True
MA,102.0,415.0,No,Yes,31.0,,,21.3,,108.0,12.0,,68.0,7.57,6.3,2.0,1.7,3.0,False
NJ,83.0,415.0,No,No,0.0,,102.0,30.4,167.9,,14.27,178.9,,,8.6,4.0,,,False
AR,63.0,510.0,No,Yes,49.0,,86.0,36.53,,89.0,16.85,170.8,139.0,7.69,8.2,5.0,,0.0,False
MS,155.0,408.0,,No,0.0,163.0,,27.71,203.9,102.0,17.33,,109.0,7.15,15.1,4.0,4.08,,False
ME,105.0,408.0,No,,0.0,115.5,,19.64,267.3,83.0,22.72,114.2,90.0,5.14,13.3,5.0,,3.0,False
IA,73.0,415.0,No,,0.0,137.1,,,210.8,114.0,17.92,,120.0,8.61,,4.0,3.0,1.0,False
NM,,415.0,No,,19.0,132.7,94.0,22.56,204.6,101.0,17.39,154.7,78.0,6.96,12.9,7.0,3.48,3.0,False
TX,71.0,415.0,No,Yes,39.0,183.2,103.0,31.14,,,17.8,172.4,109.0,,11.9,6.0,3.21,1.0,False
KY,112.0,415.0,No,No,0.0,170.5,113.0,28.99,,129.0,16.42,,91.0,8.46,11.2,6.0,3.02,0.0,False
AZ,66.0,510.0,No,No,0.0,154.0,133.0,26.18,,,16.91,151.9,,6.84,9.5,,2.57,4.0,True
TN,99.0,408.0,No,No,0.0,,92.0,,173.0,103.0,14.71,195.1,,8.78,7.5,3.0,2.03,,False
WV,124.0,510.0,No,No,0.0,184.8,74.0,31.42,175.1,84.0,,158.2,,7.12,,6.0,2.84,,False
CT,,415.0,No,Yes,36.0,283.1,112.0,48.13,,86.0,24.33,261.7,129.0,11.78,11.3,3.0,3.05,3.0,False
NH,130.0,,No,,0.0,68.4,,11.63,193.3,110.0,16.43,171.5,139.0,7.72,10.4,4.0,2.81,0.0,False
MD,93.0,510.0,Yes,No,0.0,131.4,78.0,22.34,219.7,106.0,,155.7,103.0,7.01,,2.0,3.0,1.0,True
WV,191.0,,,No,0.0,162.0,,27.54,241.2,120.0,,210.4,83.0,9.47,,7.0,2.94,1.0,False
,88.0,,No,No,0.0,,82.0,25.19,308.7,67.0,26.24,235.4,79.0,10.59,6.4,4.0,1.73,,False
WY,16.0,415.0,No,No,,174.7,83.0,29.7,280.8,122.0,,171.7,80.0,,10.5,8.0,2.84,5.0,False
GA,107.0,510.0,No,No,0.0,194.5,97.0,33.07,186.3,131.0,,178.3,106.0,8.02,,1.0,3.43,2.0,False
AK,96.0,408.0,No,Yes,,150.0,,25.5,159.4,75.0,13.55,228.1,,10.26,8.5,3.0,2.3,1.0,False
CT,163.0,408.0,No,Yes,40.0,231.9,56.0,39.42,211.8,91.0,,268.5,74.0,,12.3,3.0,,2.0,False
,95.0,415.0,No,No,0.0,269.0,120.0,45.73,233.7,120.0,,179.3,61.0,8.07,7.3,4.0,1.97,2.0,True
OK,123.0,415.0,No,Yes,27.0,198.7,127.0,33.78,249.0,105.0,,173.2,124.0,7.79,12.5,5.0,3.38,1.0,False
MA,34.0,415.0,No,No,,293.7,89.0,,272.5,71.0,,178.2,76.0,8.02,11.0,10.0,,2.0,True
DE,96.0,,No,Yes,26.0,175.8,96.0,29.89,206.6,84.0,17.56,178.0,,8.01,11.1,,3.0,2.0,False
OH,,415.0,No,No,0.0,169.5,93.0,28.82,230.9,71.0,19.63,269.8,,12.14,9.0,7.0,,,False
ID,138.0,415.0,Yes,,17.0,225.2,116.0,38.28,173.4,88.0,14.74,,99.0,6.56,,4.0,3.16,0.0,False
MO,76.0,510.0,No,No,0.0,129.7,84.0,22.05,177.5,80.0,15.09,228.9,,,7.5,3.0,2.03,5.0,True
NC,83.0,510.0,No,Yes,36.0,,87.0,,,,22.24,228.6,109.0,10.29,13.3,4.0,3.59,0.0,False
,,408.0,No,No,0.0,170.6,,29.0,162.1,,13.78,210.7,131.0,9.48,6.1,1.0,1.65,,False
NJ,106.0,415.0,No,No,0.0,191.4,124.0,32.54,200.7,116.0,17.06,230.1,76.0,,8.2,3.0,2.21,1.0,False
MS,84.0,510.0,No,No,,75.3,96.0,12.8,179.9,113.0,15.29,193.8,134.0,8.72,12.3,,3.32,1.0,False
,99.0,408.0,No,No,0.0,128.8,86.0,21.9,203.9,105.0,17.33,282.6,131.0,12.72,14.1,4.0,3.81,2.0,False
RI,134.0,415.0,,,,141.7,95.0,24.09,205.6,101.0,17.48,218.5,60.0,,8.8,6.0,2.38,0.0,False
NJ,80.0,,,No,,,120.0,,301.0,,25.59,167.0,140.0,,5.8,1.0,1.57,2.0,True
,85.0,415.0,,No,,255.3,114.0,43.4,194.6,83.0,,276.6,78.0,12.45,3.7,5.0,1.0,3.0,False
,120.0,408.0,No,Yes,26.0,,94.0,,259.4,88.0,,238.0,132.0,,7.7,3.0,2.08,0.0,False
KS,120.0,510.0,,No,0.0,,110.0,26.86,197.0,,16.75,154.9,132.0,,10.0,5.0,2.7,1.0,False
NJ,125.0,415.0,,,0.0,182.3,64.0,,139.8,121.0,11.88,171.6,96.0,7.72,11.6,7.0,3.13,2.0,False
ND,118.0,415.0,No,Yes,39.0,91.5,125.0,15.56,219.9,113.0,18.69,229.0,,,12.7,,3.43,2.0,False
WY,,415.0,No,No,0.0,172.4,132.0,29.31,230.5,100.0,19.59,228.2,109.0,,11.0,,2.97,0.0,False
LA,112.0,510.0,,,0.0,174.5,,,,,22.04,170.5,120.0,7.67,,,3.05,1.0,False
,68.0,,No,,0.0,157.3,83.0,26.74,220.9,85.0,,,,9.85,12.0,,,1.0,False
TX,201.0,,No,Yes,,192.0,97.0,32.64,239.1,81.0,20.32,116.1,125.0,5.22,15.1,3.0,4.08,1.0,False
AR,116.0,510.0,No,No,0.0,160.7,69.0,27.32,146.8,,12.48,287.8,144.0,12.95,,5.0,2.21,0.0,False
GA,133.0,510.0,No,No,0.0,227.4,90.0,38.66,73.2,,6.22,114.3,99.0,5.14,4.7,7.0,1.27,0.0,False
KY,125.0,408.0,No,No,0.0,191.6,115.0,32.57,,108.0,17.48,210.2,123.0,9.46,9.2,,2.48,2.0,False
NE,,,No,No,0.0,225.0,,,244.2,111.0,20.76,,,9.95,,,,0.0,False
ND,110.0,408.0,No,No,0.0,196.1,103.0,33.34,199.7,123.0,16.97,135.9,71.0,6.12,12.9,1.0,,3.0,False
NH,83.0,415.0,No,No,,231.3,100.0,39.32,210.4,84.0,17.88,,106.0,9.78,,,3.35,3.0,False
IN,101.0,415.0,No,Yes,,,82.0,35.56,159.7,74.0,13.57,181.6,100.0,8.17,9.5,3.0,2.57,0.0,False
OR,117.0,,No,,,221.3,,37.62,167.6,100.0,14.25,262.7,,11.82,,4.0,1.19,0.0,False
OH,127.0,,No,No,0.0,139.6,94.0,23.73,240.9,112.0,,127.1,88.0,5.72,8.8,4.0,2.38,,False
KS,,510.0,No,Yes,,183.9,83.0,,,,20.46,185.7,,8.36,15.0,3.0,4.05,1.0,False
TX,120.0,415.0,No,No,,203.3,108.0,34.56,259.9,66.0,,115.9,103.0,5.22,7.8,2.0,2.11,3.0,False
DC,141.0,415.0,No,,37.0,,87.0,31.52,178.5,128.0,15.17,218.3,107.0,9.82,8.0,3.0,,4.0,False
,87.0,510.0,No,Yes,22.0,240.8,102.0,40.94,75.9,106.0,6.45,224.6,115.0,10.11,7.1,3.0,1.92,2.0,False
WA,97.0,,No,No,,276.1,82.0,46.94,,,17.09,231.3,73.0,10.41,8.9,4.0,2.4,0.0,True
NC,162.0,408.0,No,,,179.7,144.0,30.55,218.1,,18.54,,,,9.3,,2.51,1.0,True
,119.0,510.0,,No,0.0,81.9,75.0,13.92,253.8,,21.57,213.1,125.0,9.59,8.9,1.0,,,True
WI,107.0,510.0,No,,,248.6,,42.26,119.3,115.0,10.14,194.3,83.0,8.74,12.0,1.0,3.24,,False
SC,140.0,510.0,No,Yes,28.0,,77.0,26.71,172.4,97.0,14.65,184.5,94.0,8.3,11.1,9.0,3.0,1.0,False
SD,,415.0,No,,,153.0,,26.01,141.1,127.0,11.99,171.5,76.0,7.72,10.3,15.0,2.78,1.0,True
OH,135.0,415.0,No,No,0.0,218.8,123.0,37.2,242.8,64.0,,85.8,80.0,3.86,10.3,3.0,2.78,4.0,False
HI,86.0,408.0,,Yes,21.0,197.9,99.0,33.64,165.6,100.0,14.08,208.0,,9.36,10.1,9.0,2.73,0.0,False
KY,131.0,,No,No,0.0,166.5,129.0,,,107.0,,257.2,93.0,11.57,9.9,,,1.0,False
OH,86.0,415.0,No,Yes,29.0,225.4,79.0,38.32,,,15.9,281.1,112.0,12.65,,3.0,,1.0,False
AL,,415.0,,No,0.0,210.3,66.0,35.75,195.8,76.0,16.64,221.6,82.0,9.97,11.2,7.0,,1.0,False
VT,195.0,415.0,No,Yes,36.0,231.7,110.0,39.39,225.1,88.0,19.13,201.7,,9.08,12.1,2.0,3.27,0.0,False
,177.0,408.0,No,,0.0,189.5,99.0,32.22,176.3,117.0,,225.9,112.0,10.17,14.2,2.0,3.83,1.0,False
WA,100.0,408.0,No,No,,70.8,,,,102.0,18.33,230.8,125.0,10.39,9.5,,2.57,6.0,True
,,,,,,131.8,82.0,22.41,284.3,119.0,24.17,305.5,101.0,13.75,11.3,,3.05,1.0,False
DE,81.0,510.0,,No,0.0,250.6,85.0,42.6,187.9,50.0,,120.3,131.0,5.41,7.8,5.0,2.11,,False
HI,105.0,415.0,,No,,281.3,124.0,47.82,301.5,96.0,25.63,202.8,,,,3.0,2.35,0.0,True
MI,126.0,415.0,Yes,Yes,26.0,129.3,123.0,21.98,176.5,114.0,15.0,154.5,102.0,6.95,,7.0,,,False
,71.0,510.0,No,No,0.0,238.0,82.0,40.46,278.5,94.0,23.67,193.1,134.0,8.69,11.8,10.0,3.19,,True
NE,139.0,415.0,,No,0.0,211.1,103.0,35.89,206.9,108.0,,,70.0,8.73,5.6,4.0,1.51,0.0,False
NE,77.0,415.0,No,No,0.0,,102.0,28.8,184.9,144.0,15.72,,89.0,10.54,2.0,7.0,0.54,,False
,72.0,,No,No,,,97.0,30.11,184.7,105.0,15.7,,,7.83,8.0,6.0,2.16,1.0,False
KS,74.0,415.0,No,Yes,32.0,,107.0,29.68,310.6,,26.4,234.7,92.0,10.56,9.0,4.0,2.43,1.0,False
ND,124.0,415.0,,No,0.0,150.3,101.0,25.55,255.9,112.0,,,62.0,,12.5,4.0,3.38,2.0,False
KY,113.0,408.0,,,20.0,,83.0,26.83,161.5,56.0,13.73,,100.0,,8.7,2.0,2.35,5.0,True
,66.0,510.0,No,No,0.0,118.0,133.0,20.06,248.1,99.0,21.09,214.4,122.0,9.65,5.3,5.0,1.43,1.0,False
MT,124.0,415.0,No,,30.0,,35.0,24.57,262.3,101.0,,226.5,,10.19,12.0,7.0,3.24,2.0,False
,134.0,408.0,No,No,0.0,183.8,111.0,31.25,,92.0,10.5,160.7,105.0,,,2.0,1.65,1.0,False
ME,41.0,415.0,No,Yes,30.0,191.7,109.0,32.59,193.0,86.0,16.41,,93.0,6.72,,4.0,3.0,,False
SC,159.0,415.0,No,Yes,23.0,,93.0,26.11,216.9,88.0,18.44,161.3,91.0,7.26,12.6,3.0,3.4,,False
IL,87.0,408.0,Yes,Yes,36.0,171.2,138.0,29.1,185.8,102.0,15.79,227.6,97.0,10.24,,3.0,2.92,1.0,False
WA,,415.0,,No,,,115.0,40.82,180.4,91.0,15.33,133.4,,6.0,8.0,,2.16,3.0,False
NE,86.0,408.0,,No,0.0,,121.0,,240.2,96.0,20.42,158.6,108.0,7.14,,8.0,1.81,1.0,False
,,,Yes,No,0.0,269.6,121.0,,171.7,91.0,14.59,219.0,,,,6.0,2.21,1.0,False
VT,101.0,415.0,,No,0.0,136.2,92.0,,220.9,110.0,18.78,196.9,116.0,8.86,13.3,7.0,3.59,,False
KS,94.0,408.0,No,No,0.0,269.2,104.0,,193.8,144.0,16.47,257.6,61.0,11.59,8.9,2.0,2.4,3.0,True
,68.0,408.0,No,,,219.6,97.0,37.33,141.1,,11.99,205.7,101.0,,,4.0,,2.0,False
CO,98.0,408.0,,No,0.0,,122.0,40.15,189.4,110.0,16.1,153.6,104.0,,13.3,4.0,3.59,0.0,False
TX,123.0,408.0,No,No,0.0,260.9,85.0,,,,,178.3,91.0,8.02,13.3,5.0,3.59,3.0,False
CA,111.0,408.0,,,0.0,249.8,109.0,42.47,242.4,106.0,20.6,,78.0,10.43,11.6,4.0,3.13,0.0,True
,69.0,510.0,,Yes,27.0,268.8,78.0,45.7,,89.0,20.96,271.9,102.0,12.24,16.4,3.0,4.43,,False
RI,,415.0,No,,27.0,140.1,,23.82,,111.0,,257.9,73.0,11.61,3.8,10.0,1.03,1.0,False
,105.0,,,No,,,108.0,32.93,183.2,124.0,15.57,293.7,,13.22,10.8,,2.92,,False
VA,75.0,415.0,No,,0.0,224.7,116.0,38.2,192.0,79.0,16.32,212.2,98.0,9.55,,11.0,,3.0,False
TX,126.0,,No,No,0.0,,,32.45,149.7,72.0,12.72,191.4,87.0,,13.0,3.0,3.51,1.0,False
,41.0,415.0,No,No,0.0,232.1,74.0,39.46,327.1,88.0,27.8,226.5,,10.19,,,2.94,3.0,True
RI,113.0,415.0,No,No,0.0,90.6,130.0,15.4,170.6,100.0,,,74.0,6.18,5.4,9.0,1.46,1.0,False
NY,78.0,,No,No,0.0,152.9,81.0,25.99,256.6,82.0,21.81,173.6,112.0,7.81,,,1.43,2.0,False
WA,110.0,,No,No,0.0,241.2,105.0,41.0,174.3,85.0,14.82,245.3,59.0,11.04,,4.0,2.3,,False
